CustomerID,Recency,Frequency,Monetary
12504,20,2,2.8000000000000007
12506,234,1,28.35
12507,136,1,225.28
12508,28,2,62.269999999999996
12509,286,1,67.5
12510,144,2,315.79999999999995
12512,245,1,21.6
12513,86,2,108.0
12514,269,1,265.28
12515,355,1,76.05
12516,5,2,424.18
12517,30,5,595.24
12518,1,5,370.76
12519,154,1,45.5
12520,38,5,673.33
12521,144,1,135.3
12522,53,1,17.700000000000003
12523,21,9,281.61
12524,71,7,1141.65
12526,55,3,168.45000000000002
12527,83,3,83.34
12528,116,5,269.65000000000003
12530,31,5,339.29
12531,16,1,31.4
12532,91,1,110.88
12534,337,1,274.5
12535,93,2,111.75
12536,31,2,707.37
12538,61,1,55.650000000000006
12539,24,4,1027.6299999999999
12540,21,17,2712.07
12541,61,3,299.57
12544,61,2,36.42
12545,77,2,204.25
12546,48,3,122.80000000000001
12547,199,2,48.4
12548,168,1,17.4
12550,81,1,217.68
12551,359,1,12.5
12552,41,1,71.47
12553,1,10,673.61
12556,34,2,110.41
12557,40,2,1446.68
12558,121,2,0.0
12559,312,2,55.599999999999994
12560,145,2,299.54
12561,70,1,64.65
12562,24,7,870.9300000000001
12564,263,1,39.6
12565,283,2,16.029999999999998
12567,24,11,1754.1
12569,18,21,813.05
12571,41,2,82.7
12572,53,2,151.5
12573,229,1,40.7
12574,317,1,15.0
12576,131,5,218.26
12577,244,3,137.92
12578,23,3,420.68
12579,80,1,125.65
12580,160,1,89.8
12581,41,1,9.959999999999999
12582,240,2,111.06
12583,1,17,1489.93
12584,11,12,386.5
12585,224,3,284.11
12586,19,1,48.050000000000004
12587,302,1,20.8
12588,41,1,17.0
12589,30,2,153.42
12590,6,1,1816.6
12591,319,1,188.0
12592,67,1,66.0
12593,220,2,122.39999999999999
12594,48,7,963.19
12596,53,1,52.74
12597,21,5,620.06
12598,11,7,680.5
12599,61,3,179.88
12600,86,6,300.44
12601,40,4,78.15
12603,23,1,126.0
12604,81,2,54.6
12607,1,2,-86.73
12609,80,3,174.18
12610,24,5,384.15
12611,54,1,258.75
12612,76,1,228.75
12613,59,5,615.41
12614,161,1,54.15
12615,73,4,334.57
12616,216,2,201.1
12617,61,1,23.709999999999997
12618,23,1,50.5
12619,18,8,445.71999999999997
12620,16,3,316.33
12621,6,21,2560.04
12622,234,1,45.300000000000004
12623,130,1,46.5
12624,108,2,147.8
12625,6,2,857.12
12626,25,10,1325.66
12627,12,6,849.09
12628,20,4,152.39000000000001
12630,11,2,483.79
12631,59,1,358.94
12633,1,4,247.06
12635,32,2,276.36
12637,93,9,1440.23
12638,183,1,151.74
12639,240,1,73.5
12640,25,2,210.76000000000002
12642,27,3,195.68
12643,40,3,1174.1999999999998
12644,306,1,49.09
12645,111,4,359.86
12646,51,2,247.64000000000001
12647,32,10,704.01
12648,126,1,38.150000000000006
12649,36,2,104.03999999999999
12650,182,1,4.68
12651,101,1,27.450000000000003
12652,10,2,91.64
12653,150,2,513.75
12654,12,5,184.35
12656,3,6,586.15
12657,13,4,347.09
12658,20,1,81.89999999999999
12660,13,1,43.050000000000004
12662,25,10,605.82
12664,1,4,741.0
12667,1,1,99.02
12668,13,5,679.24
12669,4,2,246.54
12670,12,5,796.42
12672,331,1,27.599999999999998
12673,328,1,54.3
12674,93,5,430.76
12676,26,5,234.34
12678,44,8,3583.24
12679,54,4,136.32
12680,75,3,189.32999999999998
12681,16,22,2554.79
12682,3,28,2278.1
12683,6,15,1765.85
12684,26,5,426.16
12685,30,6,639.27
12686,639,1,17.4
12688,115,1,946.42
12689,27,2,294.8
12690,207,1,156.65
12691,1,2,81.8
12693,6,4,266.3
12694,72,2,116.8
12695,212,3,157.55
12697,30,3,217.1
12700,128,4,733.73
12701,37,2,141.03
12702,21,1,59.900000000000006
12703,73,1,74.0
12704,24,7,327.25
12705,17,10,1331.75
12707,293,1,126.54
12708,61,11,439.28000000000003
12709,1,19,1809.01
12710,203,4,186.60999999999999
12712,10,14,828.0
12713,90,1,182.56
12714,11,5,1195.83
12715,108,1,27.0
12716,135,2,223.72
12717,34,2,167.5
12718,73,1,14.399999999999999
12719,31,3,139.0
12720,4,23,1033.2
12721,81,7,457.15
12722,4,4,249.72
12723,18,4,182.17
12724,40,3,154.3
12725,639,1,76.5
12726,30,7,481.68
12727,12,6,1191.55
12728,40,4,130.79
12729,115,1,116.08
12731,25,13,2558.1
12732,181,1,24.500000000000004
12733,236,1,191.65
12734,354,1,16.8
12735,193,2,109.4
12736,40,1,140.4
12738,667,1,43.55
12739,336,1,232.62
12740,154,1,36.4
12743,136,2,108.67
12744,58,5,1649.76
12747,24,8,832.35
12748,6,163,5931.05
12749,24,6,891.89
12750,278,1,43.5
12752,83,1,894.24
12753,24,8,5473.87
12754,161,3,397.55999999999995
12757,6,10,427.01
12758,118,2,556.9200000000001
12759,54,3,287.95
12762,27,2,318.72
12763,578,1,90.66
12764,318,1,72.60000000000001
12766,59,7,1592.42
12769,240,1,191.85
12770,212,1,583.74
12772,31,1,162.49
12775,19,5,300.94
12778,21,5,102.63
12779,200,8,801.12
12781,154,2,316.74
12782,151,5,250.55
12783,55,6,395.88
12784,17,1,38.75
12785,425,1,19.799999999999997
12787,93,2,52.400000000000006
12790,194,1,95.36
12792,258,1,122.63999999999999
12793,101,2,48.95
12794,55,1,92.72
12795,20,1,163.18
12802,188,1,91.08
12808,127,3,107.2
12809,179,1,85.2
12811,263,2,182.3
12812,46,1,79.30000000000001
12815,149,2,179.9
12816,178,2,85.6
12817,283,1,40.0
12818,263,1,480.0
12820,46,4,171.07
12821,97,1,30.12
12822,72,2,242.65
12823,76,3,1071.0
12824,31,1,17.700000000000003
12826,61,7,277.06
12827,46,2,82.45
12828,114,6,314.7
12829,163,3,3.5
12830,136,4,1513.36
12831,264,1,25.5
12832,305,1,66.0
12833,147,1,96.69
12834,311,1,46.8
12836,31,4,632.36
12837,175,1,38.7
12838,183,2,91.29
12839,13,13,1199.9
12840,66,6,612.25
12841,5,25,777.08
12842,72,2,340.68
12843,67,6,413.89
12844,61,2,65.85
12845,292,1,9.75
12847,24,1,248.48
12849,122,2,128.89
12851,246,1,19.99
12852,292,2,45.650000000000006
12853,136,6,255.55
12854,7,5,358.2
12855,667,1,27.900000000000002
12856,20,7,542.29
12857,70,2,161.95
12865,28,3,290.55
12866,342,1,83.35
12867,28,9,877.73
12868,10,6,368.09000000000003
12872,328,2,152.5
12873,311,1,102.0
12876,59,2,418.44
12877,26,8,242.62
12878,238,2,128.8
12879,80,2,53.1
12881,99,1,268.3
12882,11,2,283.2
12883,26,3,90.7
12885,125,2,242.69
12886,67,3,147.01
12888,341,1,-29.849999999999998
12890,26,1,19.51
12893,91,1,21.82
12895,44,2,34.2
12897,206,1,58.0
12901,12,16,4401.3
12902,266,1,49.7
12904,20,2,83.41
12906,13,4,1002.1
12909,79,7,279.76
12910,7,6,566.46
12912,16,5,540.12
12913,17,3,402.3
12915,667,1,40.55
12916,140,4,253.4
12917,278,1,297.0
12919,18,6,372.91
12920,19,1,43.400000000000006
12921,11,38,2860.4
12922,338,1,50.7
12923,184,1,53.18
12924,2,2,5.4
12925,76,2,175.1
12928,7,5,279.48
12929,343,1,20.4
12930,80,3,76.08
12931,23,8,5186.02
12933,26,3,124.42
12935,28,6,612.45
12936,19,3,189.68
12937,17,4,250.88
12938,27,1,33.48
12939,38,5,2300.2799999999997
12940,56,3,163.5
12942,133,3,171.84
12944,244,1,94.3
12945,290,1,56.85
12947,96,5,267.27
12948,18,7,463.39
12949,91,7,886.98
12950,26,3,794.6
12951,175,7,281.3
12952,45,4,380.85
12955,18,9,814.86
12956,192,1,30.47
12957,11,9,744.4
12962,115,2,60.79
12963,12,6,412.21000000000004
12965,32,1,198.10999999999999
12967,182,3,305.1
12968,114,1,71.14999999999999
12970,302,3,70.8
12971,10,34,1856.2
12974,199,1,15.9
12976,6,1,369.2
12977,187,1,0.78
12980,96,5,1149.45
12981,61,1,76.38
12982,37,2,93.11
12985,30,3,205.4
12987,75,3,100.20000000000002
12988,294,1,144.55
12989,23,10,1815.53
12990,122,2,62.400000000000006
12991,25,2,121.44
12993,33,3,52.75
12994,33,4,176.14000000000001
12997,2,5,412.40999999999997
12999,129,2,116.94
13000,261,2,118.92
13001,24,13,2404.3900000000003
13002,320,1,50.099999999999994
13004,13,18,945.46
13005,129,3,77.25
13006,58,1,11.52
13008,325,1,102.44999999999999
13012,11,8,235.92000000000002
13013,4,13,966.19
13014,12,12,572.4
13015,55,5,659.91
13016,75,3,180.9
13017,302,1,204.0
13018,18,26,1605.68
13021,27,7,642.29
13023,184,2,247.35000000000002
13026,26,3,148.56
13027,356,1,864.0
13028,24,2,72.24000000000001
13029,140,2,399.0
13030,13,2,109.57000000000001
13032,54,3,229.44
13033,359,1,28.200000000000003
13034,56,1,65.10000000000001
13035,75,2,198.0
13037,140,3,287.4
13038,96,2,167.4
13040,183,1,44.78
13043,38,1,263.6
13044,293,1,65.78
13045,336,1,102.9
13046,91,2,241.43
13047,48,13,578.8
13048,16,5,484.17
13049,184,2,273.78000000000003
13050,16,21,1448.12
13052,36,1,131.4
13055,67,3,206.14999999999998
13058,1,2,156.45
13059,251,1,44.35
13060,255,1,50.400000000000006
13061,74,1,111.75
13064,2,3,107.82000000000001
13065,698,1,68.1
13066,26,2,85.65
13067,84,1,9.530000000000001
13068,12,2,344.0
13069,3,23,661.54
13070,194,1,62.400000000000006
13072,268,1,50.25000000000001
13075,306,1,94.19999999999999
13077,121,4,101.56
13078,1,34,2763.42
13080,181,1,3.3600000000000003
13081,13,12,5709.02
13082,178,8,453.3
13083,77,1,53.8
13085,218,2,58.2
13089,7,85,11218.16
13090,21,10,2542.84
13091,30,1,85.49999999999999
13092,72,4,116.95
13093,10,10,1015.11
13094,69,5,431.52000000000004
13097,79,11,1253.33
13098,11,30,5584.07
13101,236,1,28.69
13102,25,22,1332.18
13103,41,1,58.199999999999996
13104,87,1,43.68
13107,71,3,225.28
13108,667,1,55.199999999999996
13109,31,3,97.25
13110,55,6,352.45
13113,6,30,4842.54
13115,1,7,400.61
13116,119,2,51.39
13117,23,6,188.1
13118,21,6,149.82000000000002
13121,271,2,36.269999999999996
13122,242,1,213.35999999999999
13124,32,3,576.4
13126,46,7,570.18
13127,79,1,25.200000000000003
13131,25,4,231.2
13133,38,1,19.9
13134,87,4,380.12
13136,36,6,430.69
13137,12,8,503.44
13138,48,4,118.5
13139,18,8,1067.67
13140,110,3,59.16
13141,86,5,395.88
13142,21,1,72.4
13144,40,1,23.6
13145,93,1,15.0
13146,28,1,32.0
13147,12,1,237.60000000000002
13148,61,13,654.09
13149,16,4,521.7
13151,205,2,64.15
13153,243,1,49.440000000000005
13155,81,3,251.65
13157,7,5,401.99
13158,3,4,258.14
13159,52,4,343.48
13160,24,1,15.0
13161,315,1,10.9
13162,40,5,355.35
13165,48,2,52.32
13166,342,1,89.5
13167,20,4,139.67000000000002
13168,201,4,335.45
13169,154,2,187.8
13170,28,1,31.42
13171,23,3,96.5
13173,213,2,38.58
13174,18,3,590.97
13176,48,1,91.17
13177,184,1,42.6
13178,28,11,1286.94
13182,47,1,36.54
13183,88,8,916.09
13184,16,8,391.56
13186,41,4,320.72
13187,193,1,30.1
13189,20,2,59.04
13192,207,2,290.14
13193,92,1,20.35
13194,137,1,17.700000000000003
13196,13,3,369.82
13198,12,6,572.19
13199,16,19,1408.92
13200,23,3,97.69999999999999
13203,11,4,196.3
13207,4,2,55.32000000000001
13208,31,5,284.82
13209,91,8,923.38
13210,155,1,135.48000000000002
13211,216,2,313.65
13212,11,4,241.35
13213,58,4,277.58
13217,187,1,85.0
13220,80,3,279.25
13221,242,2,282.32
13224,34,2,445.35
13225,62,7,940.3199999999999
13226,38,1,36.15
13227,203,1,100.19999999999999
13229,227,1,14.850000000000001
13230,61,13,647.32
13232,5,7,348.17
13233,76,2,151.0
13235,36,1,199.52
13236,2,3,100.72
13238,25,2,119.8
13239,263,1,51.62
13240,175,4,171.31
13242,67,2,104.0
13243,205,1,120.4
13244,124,1,17.59
13245,52,1,49.3
13246,20,7,415.89
13247,24,3,110.10000000000001
13248,156,2,126.30000000000001
13249,155,1,22.92
13253,187,1,276.6
13255,11,2,123.30000000000001
13258,13,3,130.79
13259,92,1,73.32000000000001
13260,92,1,219.0
13261,270,2,198.0
13263,6,33,1291.23
13265,2,5,319.64
13266,13,16,695.94
13267,10,18,775.38
13268,7,12,797.13
13269,2,14,1066.6000000000001
13271,303,2,30.5
13272,32,1,15.0
13273,115,1,15.239999999999998
13276,154,2,170.3
13277,17,3,107.5
13278,42,1,163.57
13279,80,1,24.659999999999997
13280,94,3,181.95000000000002
13282,6,5,109.35
13284,332,1,34.2
13285,25,4,593.36
13291,157,1,71.82
13292,286,2,144.47
13294,251,2,232.34
13295,361,2,21.950000000000003
13296,139,1,59.5
13297,25,2,262.95
13299,270,1,29.700000000000003
13300,171,1,96.8
13301,105,4,129.85
13302,157,1,63.75
13304,353,1,70.41
13305,23,8,458.55
13308,24,3,192.66
13309,2,4,201.91
13310,30,4,177.94
13311,4,1,90.16
13313,24,4,273.74
13314,53,4,117.16
13316,81,5,672.2800000000001
13317,96,7,422.24
13318,243,2,73.96
13319,2,25,1689.0900000000001
13320,67,4,382.67
13322,19,1,45.08
13323,23,3,81.35000000000001
13324,32,7,1188.6599999999999
13325,83,1,116.5
13327,114,9,554.58
13328,318,1,541.08
13329,122,3,152.09999999999997
13330,124,3,284.94
13332,16,1,116.65
13334,84,3,535.01
13336,79,1,112.24000000000001
13338,126,2,31.910000000000004
13339,202,1,161.91
13340,47,7,2016.44
13341,262,1,135.6
13343,174,2,120.78
13344,161,3,523.28
13345,289,1,27.6
13347,72,1,39.599999999999994
13348,184,1,99.9
13349,12,1,46.44
13350,18,2,119.85
13351,245,1,67.5
13352,62,1,112.32
13354,73,1,216.72
13355,94,1,121.0
13356,82,1,168.1
13357,259,1,103.74
13358,270,1,168.49
13359,31,2,155.51999999999998
13362,11,4,770.0500000000001
13363,19,2,232.57999999999998
13364,73,2,24.96
13365,183,3,514.47
13368,258,1,145.8
13369,356,2,-12.63
13370,486,2,212.42000000000002
13372,32,1,74.92
13373,62,3,656.3100000000001
13375,2,2,215.43
13376,205,3,153.0
13379,28,3,94.0
13381,32,6,742.24
13382,252,1,59.42
13384,47,6,883.36
13385,331,1,101.65
13388,133,2,74.9
13389,13,3,124.39999999999999
13390,76,1,167.39999999999998
13394,34,9,217.82999999999998
13395,158,1,66.3
13396,23,4,444.24
13397,96,3,117.0
13398,194,1,79.96
13402,247,2,98.12
13403,19,1,75.0
13404,36,2,53.9
13405,76,3,145.581
13408,4,48,4581.91
13410,26,4,251.55
13411,109,1,87.45
13414,135,2,53.85
13416,83,1,34.0
13417,207,2,124.9
13418,13,17,1380.69
13419,154,1,24.839999999999996
13420,136,2,15.299999999999999
13421,42,2,324.02
13422,184,1,485.01
13425,110,3,284.55
13426,12,10,726.46
13427,21,3,213.34
13428,12,1,35.58
13429,12,4,281.0
13430,20,4,127.09
13431,2,2,287.62
13434,76,2,202.56000000000003
13435,26,7,550.63
13436,121,1,47.4
13437,16,7,651.9
13439,257,1,69.22
13441,93,1,81.12
13447,25,4,196.82
13448,18,6,686.75
13449,25,1,115.19
13450,28,5,277.08
13451,6,5,547.7
13453,167,2,74.9
13455,26,3,281.28
13456,19,6,195.05
13458,7,16,1787.15
13460,51,2,25.5
13461,140,3,412.4
13462,341,1,17.700000000000003
13464,1,1,90.7
13466,102,2,67.15
13467,12,2,269.32
13468,40,28,1024.26
13470,336,1,16.5
13471,23,3,505.14
13473,40,2,132.33
13474,238,1,34.43
13475,189,3,243.93
13476,69,3,226.04999999999998
13477,6,6,274.28
13479,202,2,69.35
13481,47,5,313.06
13482,234,1,52.4
13483,215,1,79.86
13484,7,1,15.9
13485,235,1,63.9
13486,80,3,310.52
13487,59,3,135.2
13488,10,15,1799.18
13489,291,2,197.88
13491,40,8,309.75
13492,97,3,346.24
13493,99,2,120.0
13494,343,1,78.9
13495,234,5,468.54
13496,12,2,156.10000000000002
13497,311,2,143.9
13499,19,5,369.17
13500,25,3,276.75
13501,290,1,283.95
13502,18,2,44.1
13503,73,1,59.2
13504,184,1,38.85
13505,74,5,699.98
13506,314,3,56.05
13507,109,4,453.32
13508,68,1,7.99
13509,54,5,188.24
13510,47,4,480.94
13512,262,1,28.05
13513,217,1,9.899999999999999
13515,74,4,135.08
13516,23,3,363.71
13517,31,3,492.14
13518,87,1,150.12
13519,80,1,43.7
13520,1,6,801.04
13521,12,3,238.38
13522,91,1,34.0
13523,48,5,862.01
13524,42,2,70.80000000000001
13525,16,2,464.0
13527,32,7,435.97
13529,80,2,104.9
13531,207,1,20.8
13532,183,1,48.27
13533,66,3,78.35
13534,48,28,1141.15
13536,11,7,728.47
13538,33,2,81.3
13539,87,3,84.75
13544,41,2,27.14
13546,14,3,121.52
13548,68,2,208.21
13549,4,6,240.15
13552,88,10,591.74
13555,75,4,915.29
13557,30,2,172.86
13558,25,4,116.79
13560,302,1,8.850000000000001
13561,128,1,10.61
13562,83,3,326.17
13563,86,2,166.48
13564,146,3,683.96
13565,21,2,10.690000000000001
13566,42,2,114.74000000000001
13568,175,1,35.85
13569,19,2,84.16
13570,68,1,57.4
13571,14,12,424.64
13572,207,1,229.90000000000003
13573,52,1,78.25
13575,1,4,111.51
13576,12,10,870.94
13577,7,4,349.7
13579,16,2,199.45
13581,284,1,13.25
13583,157,1,239.54000000000002
13584,192,1,45.35
13587,45,2,-223.2
13588,17,9,613.52
13589,16,2,120.19999999999999
13590,4,6,433.71
13591,184,3,344.62
13592,67,3,90.86999999999999
13593,110,4,401.32
13594,54,1,20.28
13596,14,2,175.92
13598,49,1,23.96
13599,7,20,1091.76
13600,314,1,28.92
13601,6,2,156.15
13602,184,1,54.6
13603,28,1,38.24
13606,68,2,45.78
13607,42,1,144.27
13610,14,7,232.03
13611,32,3,184.51
13614,26,4,414.64
13615,320,1,81.93
13617,5,2,82.54
13618,175,1,30.1
13621,118,1,79.25
13623,91,6,82.16
13626,341,1,59.599999999999994
13627,31,5,349.55
13629,25,7,1763.85
13630,77,8,621.27
13631,145,2,719.7
13632,26,6,318.13
13634,37,5,363.47
13635,276,1,197.16
13636,94,5,217.15
13637,54,3,136.17
13638,17,1,25.5
13639,76,1,106.32
13642,128,1,57.67
13643,122,2,52.8
13644,18,4,604.58
13645,33,1,30.599999999999998
13647,11,4,236.86
13649,258,2,49.099999999999994
13650,2,5,367.46000000000004
13651,41,1,30.9
13652,47,3,105.22
13654,37,5,531.4399999999999
13655,7,2,118.09
13656,166,2,116.45
13657,12,2,110.94
13658,11,6,471.86
13659,207,2,412.32
13662,36,3,156.54
13663,181,1,43.2
13666,289,1,10.850000000000001
13667,151,1,36.03
13668,12,23,1081.25
13669,52,1,105.6
13670,77,1,40.08
13672,39,1,-14.850000000000001
13673,20,2,98.6
13675,34,2,112.0
13678,34,1,34.519999999999996
13680,41,5,206.21
13681,19,4,138.6
13682,219,1,34.0
13684,287,2,19.6
13685,55,5,1318.7500000000002
13686,66,1,17.0
13692,26,3,431.18
13693,327,1,-9.95
13694,27,36,10531.22
13695,3,13,802.5600000000001
13697,334,1,36.959999999999994
13699,157,1,65.4
13700,7,10,415.89000000000004
13704,1,8,571.59
13705,146,3,121.6
13706,70,1,45.9
13707,269,2,88.4
13708,273,1,70.46000000000001
13709,51,15,1504.45
13710,122,1,4.5600000000000005
13711,220,1,35.94
13712,160,1,15.0
13715,224,3,149.97
13716,271,1,18.36
13717,58,6,306.73
13718,160,2,106.35000000000001
13719,17,5,144.34
13720,118,3,131.54999999999998
13721,275,1,102.1
13722,33,4,522.9300000000001
13725,51,8,325.66
13726,102,2,39.36
13727,30,2,69.35
13728,109,6,235.01
13730,137,2,184.53
13731,160,2,158.62
13732,30,1,42.74
13735,26,7,498.29
13736,243,3,203.38
13737,202,1,25.74
13740,242,1,49.8
13741,73,3,111.11000000000001
13742,18,11,659.74
13743,117,4,203.88
13744,216,2,270.48
13745,164,1,37.08
13747,698,1,79.6
13748,160,3,139.57999999999998
13750,173,1,15.0
13751,290,1,53.300000000000004
13752,97,5,147.92
13753,289,1,170.7
13754,319,1,46.8
13755,11,7,465.07
13756,20,10,734.1700000000001
13758,13,7,993.64
13759,73,1,205.64000000000001
13760,56,2,91.37
13761,52,2,194.16
13762,206,2,-143.51999999999998
13763,154,1,321.20000000000005
13764,72,3,302.61
13767,27,38,3490.28
13769,61,11,635.44
13771,184,3,526.75
13772,183,3,264.6
13774,83,1,26.400000000000002
13777,26,20,4201.66
13778,105,1,39.4
13780,172,2,147.22000000000003
13781,282,1,22.66
13782,14,6,145.86
13784,40,4,420.48
13786,517,1,93.0
13787,77,2,77.68
13790,213,1,38.28
13791,45,2,266.3
13792,245,1,20.4
13798,2,40,7808.73
13799,118,2,72.0
13800,284,1,95.34
13801,245,1,40.05
13802,140,4,1074.03
13803,257,1,64.55
13804,80,7,409.09
13805,54,2,337.04
13807,517,1,35.699999999999996
13808,155,4,317.82
13809,162,1,20.15
13810,30,2,129.3
13811,96,2,143.25
13812,107,2,99.13
13813,32,4,228.85
13814,58,3,361.68
13815,24,4,627.58
13816,25,3,186.51
13817,61,2,67.7
13819,39,2,36.5
13821,146,2,101.93
13822,42,2,124.11
13823,93,1,128.4
13824,7,4,519.26
13826,178,1,15.6
13827,59,3,88.53999999999999
13828,24,1,73.03
13831,18,4,524.42
13832,21,1,19.799999999999997
13833,279,1,80.6
13835,54,3,170.3
13837,6,1,47.88000000000001
13838,119,4,162.49
13842,1,9,554.1800000000001
13844,13,1,31.0
13845,184,1,72.9
13846,26,3,104.66
13849,53,2,316.86
13850,306,1,401.69
13851,216,3,311.22
13853,59,1,265.94
13854,26,20,2064.99
13856,96,2,4.75
13858,59,1,57.150000000000006
13859,328,1,67.93
13860,16,5,233.79000000000002
13862,20,8,493.92
13863,129,2,59.9
13865,1,2,108.0
13866,76,1,27.04
13867,76,3,155.06
13868,334,1,137.45
13869,125,4,555.74
13870,42,7,514.23
13871,24,12,1196.47
13873,3,3,73.7
13874,360,1,96.45
13875,39,5,296.82
13876,154,1,36.400000000000006
13877,88,1,30.240000000000002
13878,56,1,235.20000000000002
13880,23,12,736.73
13881,19,15,3649.9
13882,13,5,335.88
13883,6,7,559.76
13884,32,2,69.75
13885,202,2,59.55
13887,206,1,67.17
13888,3,2,124.25
13889,124,1,124.80000000000001
13890,24,10,408.63
13892,54,2,303.21999999999997
13893,299,1,49.1
13894,25,3,141.15
13895,30,4,454.14
13897,52,1,54.9
13898,327,1,29.85
13899,69,1,68.7
13900,96,3,119.47
13901,74,5,362.85
13904,296,1,10.2
13908,81,4,626.75
13911,59,8,610.45
13914,13,2,113.12
13917,51,1,49.160000000000004
13918,51,2,449.22
13919,31,2,80.76
13922,353,1,111.94999999999999
13923,55,1,67.89
13924,19,6,430.02000000000004
13925,64,5,114.38
13926,25,1,33.6
13927,76,1,78.65
13928,12,3,78.35000000000001
13929,171,2,52.900000000000006
13930,59,2,85.4
13931,216,2,173.79000000000002
13932,296,1,59.5
13933,111,2,128.79000000000002
13934,265,1,185.89999999999998
13936,181,1,99.22
13937,171,1,67.05
13938,244,1,13.28
13939,25,3,163.38
13940,19,3,150.36
13941,23,5,1282.04
13946,203,2,131.39999999999998
13947,215,1,39.599999999999994
13949,26,6,676.75
13950,13,4,85.86000000000001
13951,238,2,133.26
13952,189,2,622.5600000000001
13953,117,1,45.0
13954,72,2,140.57999999999998
13955,126,2,39.58
13956,56,5,197.1
13959,81,3,160.55
13962,23,1,15.600000000000001
13963,253,4,154.7
13969,18,18,1555.68
13971,20,9,516.86
13972,203,1,15.299999999999999
13973,289,1,48.95
13974,51,1,82.86
13975,38,7,453.33
13976,208,1,49.519999999999996
13978,47,1,25.47
13979,75,1,166.42
13980,62,1,25.0
13982,41,5,447.38
13983,1,8,407.57
13984,28,2,71.0
13985,1,16,1440.33
13986,19,1,26.85
13988,21,6,865.69
13989,215,2,151.55
13990,67,1,35.22
13991,14,5,172.04
13992,91,1,48.5
13993,32,10,319.12
13994,41,5,548.62
13995,58,4,265.09
13999,12,13,807.95
14000,6,1,126.36
14001,47,3,993.84
14002,136,2,151.87
14004,45,7,1150.56
14005,11,5,737.34
14006,7,3,142.32
14009,200,2,194.4
14012,161,1,58.4
14013,99,3,139.66
14014,79,1,144.9
14015,54,1,203.16
14016,209,4,615.4
14019,48,3,139.64999999999998
14020,2,2,155.54
14021,6,2,77.4
14022,227,1,101.1
14023,282,2,83.25000000000001
14024,64,2,41.2
14027,62,1,17.4
14029,146,2,69.0
14030,20,7,328.24
14031,23,17,3210.23
14032,7,10,408.32
14034,24,2,105.81
14035,30,3,164.41
14036,286,1,131.79000000000002
14037,425,1,22.65
14038,80,3,311.18
